repositoryId,isTop,label,unit,valueString,valueType,compareOptions
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,test_loss,,9.743,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,hparams/lr,,5.534,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,mean_error,%,6.974,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,training_error,%,1.263,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,mean_error,%,1.026,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MDM1NzM0Ng==,False,hparams/batch_size,,0.123,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjUwNjYwMQ==,True,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnk2NjUwNjYwMQ==,True,hparams/lr,,0.741,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjUwNjYwMQ==,True,hparams/dropout,%,6.294,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjUwNjYwMQ==,False,training_loss,,0.536,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjUwNjYwMQ==,True,f1_score,,1.492,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,True,test_error,%,2.078,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,test_accuracy,%,2.110,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,hparams/lr,,6.604,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,True,mean_error,%,1.571,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,hparms/beta,,1.738,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,hparms/beta,,0.751,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,hparams/dropout,%,0.027,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,hparams/batch_size,,6.894,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,test_error,%,4.699,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,test_error,%,0.326,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,test_accuracy,%,2.881,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMDU1MzA5Mzg=,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzODM2MDEyOTA=,False,hparms/beta,,1.659,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzODM2MDEyOTA=,False,mean_squared_error,%,3.076,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzODM2MDEyOTA=,False,test_error,%,7.490,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzODM2MDEyOTA=,False,hparams/optimizer,,POWER_SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzODM2MDEyOTA=,True,hparams/dropout,%,9.212,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzODM2MDEyOTA=,True,training_loss,,4.392,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,hparms/beta,,1.752,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,mean_squared_error,%,5.190,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,test_accuracy,%,9.161,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,test_error,%,1.815,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,f1_score,,5.853,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,True,hparams/lr,,6.348,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,training_error,%,4.917,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,hparams/dropout,%,0.912,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,True,mean_squared_error,%,3.480,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,f1_score,,3.333,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,test_accuracy,%,6.701,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,hparams/dropout,%,8.577,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,mean_squared_error,%,3.298,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMDY1MDIwMzk=,False,test_accuracy,%,6.937,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzcyMDcyMjU=,True,hparms/beta,,3.145,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,hparams/dropout,%,1.310,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,hparams/dropout,%,2.880,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,f1_score,,8.808,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,hparms/beta,,1.214,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,f1_score,,9.731,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,mean_error,%,6.089,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,test_error,%,2.393,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,mean_error,%,1.584,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,hparms/beta,,5.508,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,f1_score,,5.523,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjI1NTQ3MDA=,False,hparams/batch_size,,0.932,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,test_error,%,8.640,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,test_loss,,2.762,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,True,hparams/batch_size,,3.399,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,training_error,%,7.877,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,hparms/beta,,2.672,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,True,mean_error,%,0.026,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,mean_error,%,7.261,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,hparms/beta,,8.375,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,test_loss,,5.799,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,test_loss,,6.599,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,mean_squared_error,%,8.653,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzMwNTMxMTQ=,False,test_accuracy,%,4.465,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/optimizer,,ADAM,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,True,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/lr,,1.262,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/alpha,,9.654,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/dropout,%,3.320,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparms/beta,,1.004,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/batch_size,,8.450,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,mean_error,%,0.997,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/alpha,,0.153,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,test_accuracy,%,4.100,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyNDQ4MjE2NA==,False,test_error,%,6.548,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,hparams/alpha,,7.187,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,training_error,%,7.594,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,test_error,%,8.724,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,hparams/dropout,%,0.359,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,hparams/dropout,%,0.684,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,hparams/dropout,%,6.312,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,hparams/alpha,,9.209,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk0MzMyNTA2NQ==,False,hparams/batch_size,,9.974,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,test_accuracy,%,1.700,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,True,training_error,%,0.790,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,training_loss,,8.708,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,test_loss,,6.197,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,hparams/batch_size,,2.408,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,f1_score,,9.128,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,hparams/batch_size,,1.431,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,True,f1_score,,4.611,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,hparams/alpha,,2.540,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,hparms/beta,,2.553,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,hparams/lr,,0.094,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMDQ1NzQzNzA=,False,hparms/beta,,8.046,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/batch_size,,2.745,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,training_error,%,9.106,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparms/beta,,7.452,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/batch_size,,8.328,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,True,hparams/dropout,%,7.757,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,training_loss,,2.301,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/alpha,,8.019,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/alpha,,2.190,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,hparams/batch_size,,1.901,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzNjk1NTg1Ng==,False,training_error,%,2.506,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2MzM1MjIzMQ==,True,hparams/batch_size,,4.408,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMTI3MDc5ODE=,False,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyMTI3MDc5ODE=,False,hparams/batch_size,,1.756,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,mean_error,%,1.408,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,hparams/optimizer,,ADAM,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,True,hparams/dropout,%,8.601,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,hparams/lr,,7.242,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,True,hparams/dropout,%,9.799,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,mean_error,%,9.673,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,hparams/dropout,%,8.046,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,test_accuracy,%,3.658,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,True,hparams/alpha,,7.907,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,training_loss,,0.139,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk1NTA4MzkzOA==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,hparams/dropout,%,3.022,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,True,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,training_loss,,1.167,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,hparams/lr,,0.453,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,True,f1_score,,0.372,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,True,hparams/optimizer,,SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,mean_squared_error,%,1.161,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,hparams/optimizer,,ADAM,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,True,hparams/lr,,8.873,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,f1_score,,1.357,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,hparams/dropout,%,4.536,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjEzMDM1NDI=,False,hparams/optimizer,,POWER_SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkzMzE0NjAxNA==,True,hparams/dropout,%,2.797,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzE0NjAxNA==,True,test_error,%,6.903,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkzMzE0NjAxNA==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,mean_squared_error,%,0.214,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,hparams/shuffle,,FALSE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,hparams/alpha,,2.436,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,hparams/alpha,,1.259,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,test_loss,,5.646,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,training_loss,,0.686,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,hparams/dropout,%,7.652,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,hparms/beta,,2.072,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,True,test_error,%,2.160,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,test_error,%,8.697,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxMjc3OTM0OTI=,False,mean_squared_error,%,3.286,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxODg4Njg3MA==,True,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkxODg4Njg3MA==,True,mean_squared_error,%,1.318,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxODg4Njg3MA==,True,test_accuracy,%,3.582,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkxODg4Njg3MA==,False,training_loss,,7.884,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk5NTI2ODg=,False,test_accuracy,%,5.132,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk5NTI2ODg=,False,mean_error,%,1.091,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk5NTI2ODg=,False,test_accuracy,%,5.038,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,False,hparms/beta,,0.808,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,False,hparams/shuffle,,TRUE,BOOLEAN,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,False,f1_score,,0.657,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,True,mean_error,%,2.750,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,True,hparms/beta,,6.331,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,False,training_error,%,5.484,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,False,mean_error,%,3.252,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,True,hparams/optimizer,,POWER_SGD,STRING,EQUAL_TO
MDEwOlJlcG9zaXRvcnkyODgzNzM4NA==,False,training_loss,,5.306,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjE1NTY4MjU=,False,hparams/dropout,%,7.208,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjE1NTY4MjU=,True,test_error,%,2.150,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnkyMjE1NTY4MjU=,False,test_accuracy,%,4.516,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjM5ODQzMg==,False,hparams/alpha,,0.600,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjM5ODQzMg==,False,training_error,%,9.566,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjM5ODQzMg==,False,hparams/batch_size,,5.617,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjM5ODQzMg==,False,hparams/batch_size,,6.700,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
MDEwOlJlcG9zaXRvcnk2NjM5ODQzMg==,False,hparams/lr,,4.108,FLOAT,EQUAL_TO LESS_THAN GREATER_THAN
